article_image,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,beforeplaygame.started,imagefirst.started,keyskip2.started,beforeplaygame.stopped,keyskip2.keys,keyskip2.rt,keyskip2.duration,article.started,image.started,key_resp.started,article.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,blank500.started,text.started,blank500.stopped,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.016290200000184996,0.03209080000033282,0.03209080000033282,0.45266240000000835,space,0.41317370000069786,None,,,,,,,,,,,,281277,001,2025-04-23_14h58.41.773,article,2024.2.5,59.89006579522333,2025-04-23 14h58.45.864289 +0700,
image/number1.png,0,0,0,1,0.5554670999999871,None,0,0,0,0,0.5490011000001687,,,,,,,,,0.5304445000001579,0.5490011000001687,0.5490011000001687,1.1162505000002056,1,0.5554670999999871,None,1.1162866000004215,1.1325133999998798,1.6163236000002144,,281277,001,2025-04-23_14h58.41.773,article,2024.2.5,59.89006579522333,2025-04-23 14h58.45.864289 +0700,
image/number2.png,1,1,0,2,0.23501289999967412,None,0,1,1,1,1.6534882000005382,,,,,,,,,1.6377018000002863,1.6534882000005382,1.6534882000005382,1.9041403000001083,2,0.23501289999967412,None,1.9041759000001548,1.920401700000184,2.4042201000002024,,281277,001,2025-04-23_14h58.41.773,article,2024.2.5,59.89006579522333,2025-04-23 14h58.45.864289 +0700,
image/number3.png,2,2,0,3,0.23699800000031246,None,0,2,2,2,2.4413869999998496,,,,,,,,,2.425250600000254,2.4413869999998496,2.4413869999998496,2.692038500000308,3,0.23699800000031246,None,2.69207600000027,2.707962999999836,3.192089500000293,,281277,001,2025-04-23_14h58.41.773,article,2024.2.5,59.89006579522333,2025-04-23 14h58.45.864289 +0700,
image/number4.png,3,3,0,4,0.2415062999998554,None,0,3,3,3,3.229736799999955,,,,,,,,,3.2129750000003696,3.229736799999955,3.229736799999955,3.4816203999998834,4,0.2415062999998554,None,3.481658800000332,3.4961867000001803,3.9801868000004106,4.017169900000226,281277,001,2025-04-23_14h58.41.773,article,2024.2.5,59.89006579522333,2025-04-23 14h58.45.864289 +0700,
image/number5.png,4,4,0,4,0.5389841999995042,None,0,4,4,4,4.017169900000226,,,,,,,,,4.003538200000548,4.017169900000226,4.017169900000226,4.568136599999889,4,0.5389841999995042,None,4.568172600000253,4.584367600000405,5.068181800000275,,281277,001,2025-04-23_14h58.41.773,article,2024.2.5,59.89006579522333,2025-04-23 14h58.45.864289 +0700,
image/number6.png,5,5,0,4,1.3291214999999283,None,0,5,5,5,5.105341899999985,,,,,,,,,5.089284000000589,5.105341899999985,5.105341899999985,6.440394100000049,4,1.3291214999999283,None,6.440430399999968,6.456556699999965,6.940544900000532,6.977548500000012,281277,001,2025-04-23_14h58.41.773,article,2024.2.5,59.89006579522333,2025-04-23 14h58.45.864289 +0700,
image/number7.png,6,6,0,3,0.9103226999995968,None,0,6,6,6,6.977548500000012,,,,,,,,,6.961333600000216,6.977548500000012,6.977548500000012,7.895442900000489,3,0.9103226999995968,None,7.895479200000409,7.9117317000000185,8.39552249999997,,281277,001,2025-04-23_14h58.41.773,article,2024.2.5,59.89006579522333,2025-04-23 14h58.45.864289 +0700,
image/number8.png,7,7,0,2,0.19021920000068349,None,0,7,7,7,8.432707500000106,,,,,,,,,8.416074300000218,8.432707500000106,8.432707500000106,8.63333539999985,2,0.19021920000068349,None,8.633370300000024,8.649590500000158,9.133393500000238,,281277,001,2025-04-23_14h58.41.773,article,2024.2.5,59.89006579522333,2025-04-23 14h58.45.864289 +0700,
image/number9.png,8,8,0,1,0.22533019999991666,None,0,8,8,8,9.170543700000053,,,,,,,,,9.154416800000035,9.170543700000053,9.170543700000053,9.404519499999878,1,0.22533019999991666,None,9.404558300000645,9.420805900000232,9.904605900000206,,281277,001,2025-04-23_14h58.41.773,article,2024.2.5,59.89006579522333,2025-04-23 14h58.45.864289 +0700,
image/number10.png,9,9,0,1,0.46036220000041794,None,0,9,9,9,9.941779300000235,,,,,,,,,9.925091600000087,9.941779300000235,9.941779300000235,10.409385200000543,1,0.46036220000041794,None,10.409423200000674,10.425104700000702,10.909432100000231,,281277,001,2025-04-23_14h58.41.773,article,2024.2.5,59.89006579522333,2025-04-23 14h58.45.864289 +0700,
