4.1142 	INFO 	Loaded monitor calibration from ['2025_02_13 22:41']
4.2515 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002BDC98F88B0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002BDC98F8850>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002BDC9975D00>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.2515 	EXP 	window1: backgroundImage = ''
4.2516 	EXP 	window1: backgroundFit = 'none'
4.3100 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.3101 	EXP 	window1: recordFrameIntervals = False
4.5082 	EXP 	window1: recordFrameIntervals = True
4.6913 	EXP 	Screen (0) actual frame rate measured at 59.94Hz
4.6913 	EXP 	window1: recordFrameIntervals = False
6.4212 	INFO 	keyboard.Keyboard is using iohub backend.
6.4212 	INFO 	keyboard.Keyboard is using iohub backend.
6.4213 	INFO 	keyboard.Keyboard is using iohub backend.
6.4213 	EXP 	article: status = STARTED
6.5188 	EXP 	Created imagefirst = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='image/kumnum.png', interpolate=True, mask=None, maskParams=None, name='imagefirst', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1.78, 1.  ]), texRes=128.0, units='height', win=Window(...))
6.5229 	EXP 	Created imagequestion = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='imagequestion', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1.78, 1.  ]), texRes=128.0, units='height', win=Window(...))
6.6146 	EXP 	Created imageblank = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='image/Screenshot (172).png', interpolate=True, mask=None, maskParams=None, name='imageblank', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1.78, 1.  ]), texRes=128.0, units='height', win=Window(...))
0.0254 	INFO 	Keyboard events cleared
0.0252 	EXP 	imagefirst: autoDraw = True
1.9997 	EXP 	Imported question_stim.xlsx as conditions, 10 conditions, 2 params
1.9999 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'article_image': 'image/number1.png', 'check_key': 1, 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
2.0731 	DATA 	Keypress: space
2.0931 	INFO 	Keyboard events cleared
2.0928 	EXP 	imagefirst: autoDraw = False
2.0928 	EXP 	imagequestion: image = 'image/number1.png'
2.0928 	EXP 	imagequestion: autoDraw = True
5.4965 	DATA 	Keypress: 1
5.5123 	EXP 	imagequestion: autoDraw = False
5.5123 	EXP 	imageblank: autoDraw = True
6.4966 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'article_image': 'image/number2.png', 'check_key': 2, 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
6.5339 	INFO 	Keyboard events cleared
6.5337 	EXP 	imageblank: autoDraw = False
6.5337 	EXP 	imagequestion: image = 'image/number2.png'
6.5337 	EXP 	imagequestion: autoDraw = True
6.8850 	DATA 	Keypress: 2
6.9007 	EXP 	imagequestion: autoDraw = False
6.9007 	EXP 	imageblank: autoDraw = True
7.8847 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'article_image': 'image/number3.png', 'check_key': 3, 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
7.9219 	INFO 	Keyboard events cleared
7.9216 	EXP 	imageblank: autoDraw = False
7.9216 	EXP 	imagequestion: image = 'image/number3.png'
7.9216 	EXP 	imagequestion: autoDraw = True
8.1733 	DATA 	Keypress: 3
8.1890 	EXP 	imagequestion: autoDraw = False
8.1890 	EXP 	imageblank: autoDraw = True
9.1734 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'article_image': 'image/number4.png', 'check_key': 3, 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
9.2107 	INFO 	Keyboard events cleared
9.2104 	EXP 	imageblank: autoDraw = False
9.2104 	EXP 	imagequestion: image = 'image/number4.png'
9.2104 	EXP 	imagequestion: autoDraw = True
9.4783 	DATA 	Keypress: 1
9.4940 	EXP 	imagequestion: autoDraw = False
9.4940 	EXP 	imageblank: autoDraw = True
10.4783 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'article_image': 'image/number5.png', 'check_key': 1, 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
10.5157 	INFO 	Keyboard events cleared
10.5155 	EXP 	imageblank: autoDraw = False
10.5155 	EXP 	imagequestion: image = 'image/number5.png'
10.5155 	EXP 	imagequestion: autoDraw = True
10.8001 	DATA 	Keypress: 2
10.8157 	EXP 	imagequestion: autoDraw = False
10.8157 	EXP 	imageblank: autoDraw = True
11.8001 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'article_image': 'image/number6.png', 'check_key': 1, 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
11.8374 	INFO 	Keyboard events cleared
11.8372 	EXP 	imageblank: autoDraw = False
11.8372 	EXP 	imagequestion: image = 'image/number6.png'
11.8372 	EXP 	imagequestion: autoDraw = True
12.2048 	DATA 	Keypress: 3
12.2204 	EXP 	imagequestion: autoDraw = False
12.2204 	EXP 	imageblank: autoDraw = True
13.2052 	EXP 	New trial (rep=0, index=6): <Trial 6 (6 in rep 0) data={'article_image': 'image/number7.png', 'check_key': 3, 'thisN': 6, 'thisTrialN': 6, 'thisRepN': 0}>
13.2425 	INFO 	Keyboard events cleared
13.2423 	EXP 	imageblank: autoDraw = False
13.2423 	EXP 	imagequestion: image = 'image/number7.png'
13.2423 	EXP 	imagequestion: autoDraw = True
13.7271 	DATA 	Keypress: 1
13.7427 	EXP 	imagequestion: autoDraw = False
13.7427 	EXP 	imageblank: autoDraw = True
14.7271 	EXP 	New trial (rep=0, index=7): <Trial 7 (7 in rep 0) data={'article_image': 'image/number8.png', 'check_key': 3, 'thisN': 7, 'thisTrialN': 7, 'thisRepN': 0}>
14.7644 	INFO 	Keyboard events cleared
14.7642 	EXP 	imageblank: autoDraw = False
14.7642 	EXP 	imagequestion: image = 'image/number8.png'
14.7642 	EXP 	imagequestion: autoDraw = True
14.9986 	DATA 	Keypress: 2
15.0144 	EXP 	imagequestion: autoDraw = False
15.0144 	EXP 	imageblank: autoDraw = True
15.9987 	EXP 	New trial (rep=0, index=8): <Trial 8 (8 in rep 0) data={'article_image': 'image/number9.png', 'check_key': 4, 'thisN': 8, 'thisTrialN': 8, 'thisRepN': 0}>
16.0360 	INFO 	Keyboard events cleared
16.0358 	EXP 	imageblank: autoDraw = False
16.0358 	EXP 	imagequestion: image = 'image/number9.png'
16.0358 	EXP 	imagequestion: autoDraw = True
16.3200 	DATA 	Keypress: 3
16.3361 	EXP 	imagequestion: autoDraw = False
16.3361 	EXP 	imageblank: autoDraw = True
17.3204 	EXP 	New trial (rep=0, index=9): <Trial 9 (9 in rep 0) data={'article_image': 'image/number10.png', 'check_key': 4, 'thisN': 9, 'thisTrialN': 9, 'thisRepN': 0}>
17.3578 	INFO 	Keyboard events cleared
17.3576 	EXP 	imageblank: autoDraw = False
17.3576 	EXP 	imagequestion: image = 'image/number10.png'
17.3576 	EXP 	imagequestion: autoDraw = True
17.6087 	DATA 	Keypress: 2
17.6245 	EXP 	imagequestion: autoDraw = False
17.6245 	EXP 	imageblank: autoDraw = True
18.6253 	EXP 	imageblank: autoDraw = False
18.6254 	EXP 	article: status = STOPPED
18.6305 	INFO 	saved data to 'C:\\psychopywork\\lumdub\\data/375204_article_2025-05-06_23h01.47.032.csv'
18.6309 	INFO 	saved data to C:\psychopywork\lumdub\data/375204_article_2025-05-06_23h01.47.032.psydat
