article_image,check_key,answer_image,thisN,thisTrialN,thisRepN,keyanswer.keys,keyanswer.rt,keyanswer.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,beforeplaygame.started,imagefirst.started,keyskip2.started,beforeplaygame.stopped,keyskip2.keys,keyskip2.rt,keyskip2.duration,article.started,image.started,keyanswer.started,article.stopped,trials.keyanswer.keys,trials.keyanswer.rt,trials.keyanswer.duration,blank500.started,text.started,text.stopped,blank500.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.00502710000728257,0.021541299996897578,0.021541299996897578,0.7919212999986485,space,0.7640336999902502,None,,,,,,,,,,,,726747,001,2025-04-26_13h01.45.909,article,2024.2.5,60.43103036386045,2025-04-26 13h01.49.657493 +0700,
image/number1.png,1,image/noawnser1.png,0,0,0,1,1.0649136000138242,None,0,0,0,0,0.8880635999958031,,,,,,,,,0.8691245999943931,0.8880635999958031,0.8880635999958031,1.9559873999969568,1,1.0649136000138242,None,1.9560483999957796,1.9721888999920338,2.4931853000016417,2.456201399996644,726747,001,2025-04-26_13h01.45.909,article,2024.2.5,60.43103036386045,2025-04-26 13h01.49.657493 +0700,
image/number2.png,2,image/noawnser2.png,1,1,0,2,0.5030149999947753,None,0,1,1,1,2.4931853000016417,,,,,,,,,2.4780111000000034,2.4931853000016417,2.4931853000016417,3.0108256000094116,2,0.5030149999947753,None,3.010862299997825,3.026530900009675,3.547962100012228,3.511006399989128,726747,001,2025-04-26_13h01.45.909,article,2024.2.5,60.43103036386045,2025-04-26 13h01.49.657493 +0700,
image/number3.png,3,image/noawnser3.png,2,2,0,3,0.4252459999988787,None,0,2,2,2,3.547962100012228,,,,,,,,,3.5359389999939594,3.547962100012228,3.547962100012228,3.982162700005574,3,0.4252459999988787,None,3.9821995999955107,3.9983693000103813,,4.482394899998326,726747,001,2025-04-26_13h01.45.909,article,2024.2.5,60.43103036386045,2025-04-26 13h01.49.657493 +0700,
image/number4.png,3,image/noawnser4.png,3,3,0,1,0.39631299997563474,None,0,3,3,3,4.519352400006028,,,,,,,,,4.5104678999923635,4.519352400006028,4.519352400006028,4.920236400008434,1,0.39631299997563474,None,4.920273499999894,4.936404500011122,5.456926300015766,5.420428699988406,726747,001,2025-04-26_13h01.45.909,article,2024.2.5,60.43103036386045,2025-04-26 13h01.49.657493 +0700,
image/number5.png,1,image/noawnser5.png,4,4,0,2,0.47119030001340434,None,0,4,4,4,5.456926300015766,,,,,,,,,5.445581200008746,5.456926300015766,5.456926300015766,5.941826700000092,2,0.47119030001340434,None,5.941865400003735,5.957403400010662,6.478828899998916,6.441907100001117,726747,001,2025-04-26_13h01.45.909,article,2024.2.5,60.43103036386045,2025-04-26 13h01.49.657493 +0700,
image/number6.png,1,image/noawnser6.png,5,5,0,3,0.41676160000497475,None,0,5,5,5,6.478828899998916,,,,,,,,,6.467827499989653,6.478828899998916,6.478828899998916,6.896608000010019,3,0.41676160000497475,None,6.896645500004524,6.91254379999009,7.433602700009942,7.396087300003273,726747,001,2025-04-26_13h01.45.909,article,2024.2.5,60.43103036386045,2025-04-26 13h01.49.657493 +0700,
image/number7.png,3,image/noawnser7.png,6,6,0,1,0.3267704000172671,None,0,6,6,6,7.433602700009942,,,,,,,,,7.420983999996679,7.433602700009942,7.433602700009942,7.767716100002872,1,0.3267704000172671,None,7.7677525999897625,7.783864500001073,8.30436790001113,8.267917799996212,726747,001,2025-04-26_13h01.45.909,article,2024.2.5,60.43103036386045,2025-04-26 13h01.49.657493 +0700,
image/number8.png,3,image/noawnser8.png,7,7,0,2,0.18935570001485758,None,0,7,7,7,8.30436790001113,,,,,,,,,8.292756400012877,8.30436790001113,8.30436790001113,8.505455900012748,2,0.18935570001485758,None,8.505491699994309,8.521716899995226,,9.005515700002434,726747,001,2025-04-26_13h01.45.909,article,2024.2.5,60.43103036386045,2025-04-26 13h01.49.657493 +0700,
image/number9.png,4,image/noawnser9.png,8,8,0,3,0.23765620001358911,None,0,8,8,8,9.042699300014647,,,,,,,,,9.031878300011158,9.042699300014647,9.042699300014647,9.293424100003904,3,0.23765620001358911,None,9.29345870000543,9.309619800013024,9.83059639998828,9.793569200002821,726747,001,2025-04-26_13h01.45.909,article,2024.2.5,60.43103036386045,2025-04-26 13h01.49.657493 +0700,
image/number10.png,4,image/noawnser10.png,9,9,0,1,0.2848082999989856,None,0,9,9,9,9.83059639998828,,,,,,,,,9.8183749000018,9.83059639998828,9.83059639998828,10.131293100013863,1,0.2848082999989856,None,10.131326700007776,10.147560300014447,,10.631396700016921,726747,001,2025-04-26_13h01.45.909,article,2024.2.5,60.43103036386045,2025-04-26 13h01.49.657493 +0700,
