article_image,check_key,thisN,thisTrialN,thisRepN,keyanswer.keys,keyanswer.corr,keyanswer.rt,keyanswer.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,beforeplaygame.started,imagefirst.started,keyskip2.started,beforeplaygame.stopped,keyskip2.keys,keyskip2.rt,keyskip2.duration,article.started,imagequestion.started,keyanswer.started,article.stopped,trials.keyanswer.keys,trials.keyanswer.corr,trials.keyanswer.rt,trials.keyanswer.duration,blank500.started,text.started,text.stopped,blank500.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.01138310000533238,0.027799000032246113,0.027799000032246113,1.1907899000216275,space,1.1159180999966338,None,,,,,,,,,,,,,358270,001,2025-05-02_00h50.45.089,article,2024.2.5,59.99653220197125,2025-05-02 00h50.49.990885 +0700,
image/number1.png,1,0,0,0,1,1,1.558095799991861,None,0,0,0,0,1.2852989000384696,,,,,,,,,1.2679340000031516,1.2852989000384696,1.2852989000384696,2.8538353000185452,1,1,1.558095799991861,None,2.8538739000214264,2.869962900003884,3.390153000014834,3.3539400000008754,358270,001,2025-05-02_00h50.45.089,article,2024.2.5,59.99653220197125,2025-05-02 00h50.49.990885 +0700,
image/number2.png,2,1,1,0,2,1,0.46465209999587387,None,0,1,1,1,3.390153000014834,,,,,,,,,3.3838473000214435,3.390153000014834,3.390153000014834,3.858667900029104,2,1,0.46465209999587387,None,3.858706400031224,3.87474260001909,4.395751600037329,4.358805100026075,358270,001,2025-05-02_00h50.45.089,article,2024.2.5,59.99653220197125,2025-05-02 00h50.49.990885 +0700,
image/number3.png,3,2,2,0,3,1,0.3060286999680102,None,0,2,2,2,4.395751600037329,,,,,,,,,4.384244800021406,4.395751600037329,4.395751600037329,4.713216600008309,3,1,0.3060286999680102,None,4.713253900001291,4.729390599997714,5.250374800001737,5.2134003000101075,358270,001,2025-05-02_00h50.45.089,article,2024.2.5,59.99653220197125,2025-05-02 00h50.49.990885 +0700,
image/number4.png,3,3,3,0,1,0,0.2117392999934964,None,0,3,3,3,5.250374800001737,,,,,,,,,5.239247100020293,5.250374800001737,5.250374800001737,5.467974800034426,1,0,0.2117392999934964,None,5.4680146999889985,5.483644800027832,6.004909500014037,5.967938299989328,358270,001,2025-05-02_00h50.45.089,article,2024.2.5,59.99653220197125,2025-05-02 00h50.49.990885 +0700,
image/number5.png,1,4,4,0,2,0,0.21350409998558462,None,0,4,4,4,6.004909500014037,,,,,,,,,5.9933924000361,6.004909500014037,6.004909500014037,6.222830599988811,2,0,0.21350409998558462,None,6.222870600002352,6.238470999989659,6.759442100010347,6.722431700036395,358270,001,2025-05-02_00h50.45.089,article,2024.2.5,59.99653220197125,2025-05-02 00h50.49.990885 +0700,
image/number6.png,1,5,5,0,3,0,0.17112830001860857,None,0,5,5,5,6.759442100010347,,,,,,,,,6.7499828999862075,6.759442100010347,6.759442100010347,6.943166200013366,3,0,0.17112830001860857,None,6.943204200011678,6.9596212999895215,,7.443410900013987,358270,001,2025-05-02_00h50.45.089,article,2024.2.5,59.99653220197125,2025-05-02 00h50.49.990885 +0700,
image/number7.png,3,6,6,0,1,0,0.23626699997112155,None,0,6,6,6,7.480618100031279,,,,,,,,,7.470054600038566,7.480618100031279,7.480618100031279,7.731258400017396,1,0,0.23626699997112155,None,7.731294800003525,7.747524800011888,,8.231326500012074,358270,001,2025-05-02_00h50.45.089,article,2024.2.5,59.99653220197125,2025-05-02 00h50.49.990885 +0700,
image/number8.png,3,7,7,0,2,0,0.17950369999743998,None,0,7,7,7,8.268507900007535,,,,,,,,,8.255783800035715,8.268507900007535,8.268507900007535,8.452503699983936,2,0,0.17950369999743998,None,8.452541000035126,8.468868200026918,8.989680099999532,8.952210400020704,358270,001,2025-05-02_00h50.45.089,article,2024.2.5,59.99653220197125,2025-05-02 00h50.49.990885 +0700,
image/number9.png,4,8,8,0,3,0,0.2723659999901429,None,0,8,8,8,8.989680099999532,,,,,,,,,8.978312099992763,8.989680099999532,8.989680099999532,9.273803999996744,3,0,0.2723659999901429,None,9.273843800008763,9.289480100036599,9.810941600007936,9.77397000003839,358270,001,2025-05-02_00h50.45.089,article,2024.2.5,59.99653220197125,2025-05-02 00h50.49.990885 +0700,
image/number10.png,4,9,9,0,1,0,0.4468440000200644,None,0,9,9,9,9.810941600007936,,,,,,,,,9.798671800002921,9.810941600007936,9.810941600007936,10.261880400008522,1,0,0.4468440000200644,None,10.261919000011403,10.27756610000506,10.778438900015317,10.762064200011082,358270,001,2025-05-02_00h50.45.089,article,2024.2.5,59.99653220197125,2025-05-02 00h50.49.990885 +0700,
