article_image,check_key,thisN,thisTrialN,thisRepN,keyanswer.keys,keyanswer.corr,keyanswer.rt,keyanswer.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,beforeplaygame.started,imagefirst.started,keyskip2.started,beforeplaygame.stopped,keyskip2.keys,keyskip2.rt,keyskip2.duration,article.started,imagequestion.started,keyanswer.started,article.stopped,trials.keyanswer.keys,trials.keyanswer.corr,trials.keyanswer.rt,trials.keyanswer.duration,blank.started,imageblank.started,blank.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.016878700000233948,0.03309190000027229,0.03309190000027229,0.5691036000002896,space,0.5183992000002036,None,,,,,,,,,,,,261043,001,2025-05-07_16h46.44.312,article,2024.2.5,59.94301816689587,2025-05-07 16h46.49.530700 +0700,
image/number1.png,1,0,0,0,1,1,1.3686099999999897,None,0,0,0,0,0.666122500000256,,,,,,,,,0.6460559000001922,0.666122500000256,0.666122500000256,2.0511452000000645,1,1,1.3686099999999897,None,2.0511836000000585,2.067129500000192,3.051409799999874,261043,001,2025-05-07_16h46.44.312,article,2024.2.5,59.94301816689587,2025-05-07 16h46.49.530700 +0700,
image/number2.png,2,1,1,0,2,1,1.9670210000003863,None,0,1,1,1,3.0885772000001452,,,,,,,,,3.073556600000302,3.0885772000001452,3.0885772000001452,5.057567500000005,2,1,1.9670210000003863,None,5.057605800000147,5.073662300000251,6.0579327999998895,261043,001,2025-05-07_16h46.44.312,article,2024.2.5,59.94301816689587,2025-05-07 16h46.49.530700 +0700,
image/number3.png,3,2,2,0,3,1,0.3587411000003158,None,0,2,2,2,6.095108299999993,,,,,,,,,6.082439600000271,6.095108299999993,6.095108299999993,6.462627899999916,3,1,0.3587411000003158,None,6.462665999999899,6.478777499999978,7.463597500000105,261043,001,2025-05-07_16h46.44.312,article,2024.2.5,59.94301816689587,2025-05-07 16h46.49.530700 +0700,
image/number4.png,3,3,3,0,1,0,0.2611997999997584,None,0,3,3,3,7.500194400000055,,,,,,,,,7.487518100000216,7.500194400000055,7.500194400000055,7.767725300000166,1,0,0.2611997999997584,None,7.767763400000149,7.78384559999995,8.768091500000082,261043,001,2025-05-07_16h46.44.312,article,2024.2.5,59.94301816689587,2025-05-07 16h46.49.530700 +0700,
image/number5.png,1,4,4,0,,,,,0,4,4,4,8.80525519999992,,,,,,,,,8.789644800000133,8.80525519999992,8.80525519999992,,,,,,,,,,,,,,,,
