article_image,check_key,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,beforeplaygame.started,imagefirst.started,keyskip2.started,beforeplaygame.stopped,keyskip2.keys,keyskip2.rt,keyskip2.duration,article.started,imagequestion.started,keyanswer.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.003621599986217916,0.020731099997647107,0.020731099997647107,3.2923361000139266,space,3.2599399000173435,None,,,,189587,001,2025-05-06_23h24.25.665,article,2024.2.5,59.93741336483316,2025-05-06 23h24.29.345802 +0700,
image/number1.png,1,0,0,0,0,0,0,0,3.389449800015427,,,,,,,,,3.370661500026472,3.389449800015427,3.389449800015427,,,,,,,,
