article_image,check_key,answer_image,thisN,thisTrialN,thisRepN,keyanswer.keys,keyanswer.rt,keyanswer.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,beforeplaygame.started,imagefirst.started,keyskip2.started,beforeplaygame.stopped,keyskip2.keys,keyskip2.rt,keyskip2.duration,answer.started,imageanswer.started,answer.stopped,article.started,image.started,keyanswer.started,article.stopped,trials.keyanswer.keys,trials.keyanswer.rt,trials.keyanswer.duration,blank500.started,text.started,text.stopped,blank500.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.009278400000766851,0.02558050000516232,0.02558050000516232,1.1959271000014269,space,1.1616273000036017,None,,,,,,,,,,,,,,,463255,001,2025-04-25_01h09.33.289,article,2024.2.5,59.923010914452604,2025-04-25 01h09.37.032693 +0700,
image/number1.png,1,image/noawnser1.png,0,0,0,1,5.995096699996793,None,0,0,0,0,1.291367400001036,,,,,,,,,1.286505700001726,1.291367400001036,6.19837930000358,6.272340200004692,6.295812300006219,6.295812300006219,12.301528200005123,1,5.995096699996793,None,12.301565100002335,12.317615700005263,12.838644300005399,12.801635300005728,463255,001,2025-04-25_01h09.33.289,article,2024.2.5,59.923010914452604,2025-04-25 01h09.37.032693 +0700,
image/number2.png,2,image/noawnser2.png,1,1,0,1,5.072515799998655,None,0,1,1,1,12.838644300005399,,,,,,,,,12.823993300000438,12.838644300005399,17.809783400000015,17.83101730000635,17.848704000003636,17.848704000003636,22.935295700001006,1,5.072515799998655,None,22.93533330000355,22.95108540000365,23.474108300004445,23.43509890000132,463255,001,2025-04-25_01h09.33.289,article,2024.2.5,59.923010914452604,2025-04-25 01h09.37.032693 +0700,
image/number3.png,3,image/noawnser3.png,2,2,0,1,0.8913527000040631,None,0,2,2,2,23.474108300004445,,,,,,,,,23.457457600001362,23.474108300004445,28.44365160000598,28.467120900000737,28.48082129999966,28.48082129999966,29.382004200000665,1,0.8913527000040631,None,29.382041200005915,29.39832550000574,29.919301600006293,29.882254900003318,463255,001,2025-04-25_01h09.33.289,article,2024.2.5,59.923010914452604,2025-04-25 01h09.37.032693 +0700,
image/number4.png,3,image/noawnser4.png,3,3,0,1,2.3698062999974354,None,0,3,3,3,29.919301600006293,,,,,,,,,29.902582900002017,29.919301600006293,34.89043010000023,34.910989800002426,34.92761850000534,34.92761850000534,37.31361350000225,1,2.3698062999974354,None,37.31365000000369,37.32977760000358,,37.815210200002184,463255,001,2025-04-25_01h09.33.289,article,2024.2.5,59.923010914452604,2025-04-25 01h09.37.032693 +0700,
image/number5.png,1,image/noawnser5.png,4,4,0,1,0.6529030999954557,None,0,4,4,4,37.85073890000058,,,,,,,,,37.84034050000628,37.85073890000058,42.82189130000188,42.842154400001164,42.859070000005886,42.859070000005886,43.52690530000109,1,0.6529030999954557,None,43.52694270000211,43.543030500004534,44.06400240000221,44.027048800002376,463255,001,2025-04-25_01h09.33.289,article,2024.2.5,59.923010914452604,2025-04-25 01h09.37.032693 +0700,
image/number6.png,1,image/noawnser6.png,5,5,0,1,0.7128967999960878,None,0,5,5,5,44.06400240000221,,,,,,,,,44.052407900002436,44.06400240000221,49.035064700001385,49.056648400000995,49.072334900003625,49.072334900003625,49.79012760000478,1,0.7128967999960878,None,49.79016290000436,49.80589040000632,50.327309100001,50.29033630000049,463255,001,2025-04-25_01h09.33.289,article,2024.2.5,59.923010914452604,2025-04-25 01h09.37.032693 +0700,
image/number7.png,3,image/noawnser7.png,6,6,0,1,0.8309622000015224,None,0,6,6,6,50.327309100001,,,,,,,,,50.31582160000107,50.327309100001,55.298464900006365,55.322989800006326,55.3356363999992,55.3356363999992,56.170169400000304,1,0.8309622000015224,None,56.17020410000259,56.18595810000261,56.707387800001015,56.67044090000127,463255,001,2025-04-25_01h09.33.289,article,2024.2.5,59.923010914452604,2025-04-25 01h09.37.032693 +0700,
image/number8.png,3,image/noawnser8.png,7,7,0,1,0.8183811999988393,None,0,7,7,7,56.707387800001015,,,,,,,,,56.696518800003105,56.707387800001015,61.678522000001976,61.703316999999515,61.715701799999806,61.715701799999806,62.55020700000023,1,0.8183811999988393,None,62.55024250000133,62.566478200002166,,63.050283800002944,463255,001,2025-04-25_01h09.33.289,article,2024.2.5,59.923010914452604,2025-04-25 01h09.37.032693 +0700,
image/number9.png,4,image/noawnser9.png,8,8,0,1,1.950811499998963,None,0,8,8,8,63.087446100005764,,,,,,,,,63.07573440000124,63.087446100005764,68.05858440000156,68.08285320000141,68.09577600000193,68.09577600000193,70.04812550000497,1,1.950811499998963,None,70.0481637000048,70.06439630000386,70.58519370000431,70.54823450000549,463255,001,2025-04-25_01h09.33.289,article,2024.2.5,59.923010914452604,2025-04-25 01h09.37.032693 +0700,
image/number10.png,4,image/noawnser10.png,9,9,0,1,0.8881029000040144,None,0,9,9,9,70.58519370000431,,,,,,,,,70.57487700000638,70.58519370000431,75.55586780000158,75.58070530000259,75.59351180000522,75.59351180000522,76.49482810000336,1,0.8881029000040144,None,76.49486489999981,76.51101200000267,77.011459500005,76.99465520000376,463255,001,2025-04-25_01h09.33.289,article,2024.2.5,59.923010914452604,2025-04-25 01h09.37.032693 +0700,
