article_image,check_key,answer_image,thisN,thisTrialN,thisRepN,keyanswer.keys,keyanswer.rt,keyanswer.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,beforeplaygame.started,imagefirst.started,keyskip2.started,beforeplaygame.stopped,keyskip2.keys,keyskip2.rt,keyskip2.duration,answer.started,imageanswer.started,answer.stopped,article.started,image.started,keyanswer.started,article.stopped,trials.keyanswer.keys,trials.keyanswer.rt,trials.keyanswer.duration,blank500.started,text.started,text.stopped,blank500.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.003704500006278977,0.020841399993514642,0.020841399993514642,1.1998721999989357,space,1.1273737000010442,None,,,,,,,,,,,,,,,719032,001,2025-04-26_13h01.15.854,article,2024.2.5,60.25482972674675,2025-04-26 13h01.28.237553 +0700,
image/number1.png,1,image/noawnser1.png,0,0,0,1,0.5317070999881253,None,0,0,0,0,1.2944052999955602,,,,,,,,,1.288202399999136,1.2944052999955602,6.216387499996927,6.295256399986101,6.315645099995891,6.315645099995891,6.849625400005607,1,0.5317070999881253,None,6.8496599000063725,6.865828300011344,7.386350999993738,7.349627699994016,719032,001,2025-04-26_13h01.15.854,article,2024.2.5,60.25482972674675,2025-04-26 13h01.28.237553 +0700,
image/number2.png,2,image/noawnser2.png,1,1,0,,,,0,1,1,1,7.386350999993738,,,,,,,,,7.376311600004556,7.386350999993738,,,,,,,,,,,,,,,,,,,,
