article_image,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,beforeplaygame.started,imagefirst.started,keyskip2.started,beforeplaygame.stopped,keyskip2.keys,keyskip2.rt,keyskip2.duration,article.started,image.started,keyawnser.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.012439400000403111,0.029087900000376976,0.029087900000376976,0.3990190000004077,space,0.35282159999951546,None,,,,727332,001,2025-04-23_14h55.03.107,article,2024.2.5,59.953871491188025,2025-04-23 14h55.06.681939 +0700,
image/number1.png,0,0,0,0,0,0,0,0.49525640000047133,,,,,,,,,0.47581150000041816,0.49525640000047133,0.49525640000047133,,,,,,,,
