3.8516 	INFO 	Loaded monitor calibration from ['2025_02_13 22:41']
3.9932 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002C20498A970>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002C20498A910>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002C2049C7DC0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.9932 	EXP 	window1: backgroundImage = ''
3.9933 	EXP 	window1: backgroundFit = 'none'
4.0539 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.0539 	EXP 	window1: recordFrameIntervals = False
4.2803 	EXP 	window1: recordFrameIntervals = True
4.4638 	EXP 	Screen (0) actual frame rate measured at 59.96Hz
4.4638 	EXP 	window1: recordFrameIntervals = False
6.1742 	INFO 	keyboard.Keyboard is using iohub backend.
6.1742 	INFO 	keyboard.Keyboard is using iohub backend.
6.1742 	INFO 	keyboard.Keyboard is using iohub backend.
6.1742 	EXP 	article: status = STARTED
6.2618 	EXP 	Created imagefirst = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='image/kumnum.png', interpolate=True, mask=None, maskParams=None, name='imagefirst', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1.78, 1.  ]), texRes=128.0, units='height', win=Window(...))
6.2659 	EXP 	Created imagequestion = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='imagequestion', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1.78, 1.  ]), texRes=128.0, units='height', win=Window(...))
6.3515 	EXP 	Created imageblank = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='image/Screenshot (172).png', interpolate=True, mask=None, maskParams=None, name='imageblank', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1.78, 1.  ]), texRes=128.0, units='height', win=Window(...))
0.0210 	INFO 	Keyboard events cleared
0.0208 	EXP 	imagefirst: autoDraw = True
0.6163 	EXP 	Imported question_stim.xlsx as conditions, 10 conditions, 2 params
0.6165 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'article_image': 'image/number1.png', 'check_key': 1, 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.6905 	DATA 	Keypress: space
0.7041 	INFO 	Keyboard events cleared
0.7039 	EXP 	imagefirst: autoDraw = False
0.7039 	EXP 	imagequestion: image = 'image/number1.png'
0.7039 	EXP 	imagequestion: autoDraw = True
1.7243 	DATA 	Keypress: 1
2.3558 	DATA 	Keypress: space
3.1399 	DATA 	Keypress: 1
3.4401 	DATA 	Keypress: 2
3.9082 	DATA 	Keypress: 3
4.1407 	DATA 	Keypress: 2
4.2742 	DATA 	Keypress: 3
4.3910 	DATA 	Keypress: 1
4.8246 	DATA 	Keypress: 1
4.8413 	DATA 	Keypress: 3
4.9920 	DATA 	Keypress: 1
5.0582 	DATA 	Keypress: 3
5.3419 	DATA 	Keypress: 3
5.4919 	DATA 	Keypress: 2
5.5253 	DATA 	Keypress: 1
5.5419 	DATA 	Keypress: 4
5.6920 	DATA 	Keypress: 2
5.7087 	DATA 	Keypress: 1
5.7421 	DATA 	Keypress: 4
5.8756 	DATA 	Keypress: 2
5.8757 	DATA 	Keypress: 1
5.9423 	DATA 	Keypress: 4
6.0425 	DATA 	Keypress: 1
6.0426 	DATA 	Keypress: 2
6.0759 	DATA 	Mouse: Left button down, pos=(763,532)
6.1262 	DATA 	Keypress: 4
6.1433 	DATA 	Mouse:  Left button up, pos=(780,526)
6.2262 	DATA 	Keypress: 1
6.2263 	DATA 	Keypress: 2
6.3927 	DATA 	Keypress: 2
6.4093 	DATA 	Keypress: 1
6.6597 	DATA 	Keypress: space
6.8597 	DATA 	Keypress: space
6.8931 	DATA 	Keypress: 1
7.0767 	DATA 	Keypress: 2
7.0934 	DATA 	Keypress: 1
7.2102 	DATA 	Keypress: 1
7.2269 	DATA 	Keypress: 2
7.3616 	DATA 	Keypress: 2
7.3771 	DATA 	Keypress: 1
7.7107 	DATA 	Keypress: escape
7.7938 	EXP 	article: status = STOPPED
7.8100 	EXP 	imagequestion: autoDraw = False
7.8101 	EXP 	article: status = STOPPED
7.8146 	INFO 	saved data to 'C:\\psychopywork\\lumdub\\data/917171_article_2025-05-07_16h46.12.462.csv'
7.8150 	INFO 	saved data to C:\psychopywork\lumdub\data/917171_article_2025-05-07_16h46.12.462.psydat
