article_image,check_key,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,beforeplaygame.started,imagefirst.started,keyskip2.started,beforeplaygame.stopped,keyskip2.keys,keyskip2.rt,keyskip2.duration,article.started,image.started,key_resp.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.0028557000041473657,0.020017599999846425,0.020017599999846425,0.6402242000040133,space,0.6047505000024103,None,,,,,148026,001,2025-04-25_00h36.51.483,article,2024.2.5,59.938706679343625,2025-04-25 00h37.00.057544 +0700,
image/number1.png,1,0,0,0,0,0,0,0,0.7364305000010063,,,,,,,,,0.717122100002598,0.7364305000010063,0.7364305000010063,5.740643700002693,,,,,,,,
